,artist_name,track_name,track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
69,Nicki Minaj,Your Love,3bGxiCPouq52ZtI8ybMCX5,0.00204,0.424,245253,0.52,0.00413,11,0.411,-10.231,1,0.343,189.629,4,0.184
70,Trey Songz,Love Faces,5rX60GiR64Epgri9Ubjzg9,0.0599,0.654,243800,0.599,0.0,11,0.161,-6.699,1,0.0563,119.778,4,0.333
71,Los Buitres De Culiacan Sinaloa,Sanguinarios Del M1,5GTtj2q0psedXHdUnFG4z3,0.545,0.815,151213,0.738,0.0,10,0.0772,-5.142,1,0.127,119.905,4,0.967
72,Los Inquietos Del Norte,Vamos a Darle Con Todo,35eOCG3fDg7hfBj2w1l0R2,0.223,0.603,163800,0.645,0.0,10,0.23,-3.956,1,0.032,127.593,3,0.656
73,Eminem,Cold Wind Blows,3Tj1luJyKPQt7WbrqpJ2Az,0.13,0.619,303733,0.972,0.0,11,0.782,-0.517,1,0.416,169.04,4,0.584
74,Cartel De Santa,Bombos y Tarolas,5MyEACD2kRFeh231Z6FkdE,0.00248,0.894,292160,0.65,0.00869,10,0.057,-4.956,0,0.117,87.982,4,0.787
75,Dr. Dre,Kush - Main,1U8Ho1nOzKXYDvfigOuHG4,0.000622,0.444,235120,0.866,4.72e-05,7,0.105,-6.217,1,0.111,94.968,4,0.375
76,Daddy Yankee,La Despedida,6XE2V2icEranw5YpS4WMDD,0.0866,0.746,202827,0.993,0.0548,2,0.0689,-2.134,0,0.0499,122.046,4,0.972
77,Hopsin,Sag My Pants,2fpzSINgTCbf4sS7LH39G5,0.171,0.871,219089,0.567,0.0,2,0.0551,-9.264,1,0.364,97.422,4,0.794
78,Atmosphere,The Best Day,48vRKDOBxyVChwHAjU0SOf,0.358,0.882,216893,0.624,0.0,6,0.0678,-5.372,1,0.0682,96.896,4,0.899
79,Mac Miller,Kool Aid and Frozen Pizza,3VmrLy4WZLHDgTXENCIz2p,0.198,0.724,157738,0.765,0.0,1,0.23,-7.06,0,0.263,89.991,4,0.702
80,Mac Miller,Back In The Day,3ycf2bdoyYW6KFX0PL9NDO,0.118,0.691,246865,0.64,1.03e-05,6,0.107,-7.963,1,0.275,82.273,4,0.411
81,E-40,B*tch,2twJtqTdddqsTJnEHUFZdm,0.0375,0.853,203427,0.855,0.0,5,0.343,-5.716,1,0.118,94.976,4,0.683
82,Flo Rida,Who Dat Girl (feat. Akon),7z73ehYAn9O1XP9XlCqVtd,0.00683,0.719,200880,0.616,3.11e-05,1,0.0742,-3.951,1,0.0395,124.963,4,0.625
83,Gorillaz,Plastic Beach (feat. Mick Jones and Paul Simonon),2nZ33CKRbgpJQJJQKHuGXb,0.00252,0.537,227213,0.893,0.0211,0,0.0636,-5.459,1,0.0893,183.78,4,0.499
84,Common,The Light,5fybLNY2eBRnEGg8SUW6yk,0.114,0.934,243587,0.649,1.71e-06,7,0.0807,-6.465,1,0.266,97.026,4,0.685
85,Nicki Minaj,Did It On’em,4qhhB1wqCRU5BBzotRGov3,0.0445,0.559,212347,0.414,0.0,9,0.204,-7.032,0,0.351,155.949,4,0.472
86,El Tigrillo Palma,Se Vale Soñar,3GvQHg0XiEMuJxrCBMTzCc,0.414,0.688,164587,0.72,0.0,5,0.325,-5.106,1,0.0368,124.175,4,0.943
87,Roscoe Dash,All The Way Turnt Up,4YAtIop3U0HsJ7jE94BCmX,0.000889,0.512,293720,0.965,0.0,11,0.264,-2.862,0,0.0842,132.007,4,0.743
88,Don Omar,Taboo,4cyYC67XY3weSVmSLdKLP8,0.0449,0.43,292160,0.886,0.0,0,0.0879,-5.811,1,0.0828,187.38,3,0.808
89,Jamie Foxx,Fall For Your Type,0hRPRbA2B1CYmGNhWhFjwF,0.394,0.593,269533,0.393,3.24e-06,1,0.11,-11.736,1,0.0827,136.866,4,0.193
90,Trey Songz,Can't Be Friends,0H6fDB7YaMZe1rXCmATx9l,0.0643,0.451,220373,0.588,0.0,11,0.171,-7.973,0,0.2,171.849,4,0.332
91,Gorilla Zoe,Baddest Bitch,6eFXZWziGQv1FgcKSPHGSq,0.319,0.847,225120,0.724,0.000748,0,0.0853,-4.777,1,0.144,159.978,4,0.554
92,Fabolous,You Be Killin Em,5I6YA7oHtraxwWQzzCugDt,0.444,0.664,209693,0.909,0.0,6,0.525,-3.552,0,0.22,93.977,4,0.557
93,Tech N9ne Collabos,Loud,7LG1SR44Kh4f9lgyXSdWTD,0.252,0.865,291867,0.878,0.0,1,0.107,-2.637,0,0.271,140.075,4,0.763
94,Bow Wow,Ain't Thinkin' 'Bout You,4GtvQ52U6f9LGkwjAqL60e,0.0113,0.54,230907,0.617,0.0,1,0.088,-5.534,1,0.125,116.635,5,0.127
95,Eminem,Going Through Changes,0ZqWBTU1EkdVPAMwQgfKiv,0.0197,0.693,298893,0.899,0.0,0,0.0594,-4.084,1,0.259,86.048,4,0.319
96,Drake,Shut It Down,3d8PDk3B4am5c6TsUCznUW,0.411,0.59,419307,0.434,0.0,9,0.0979,-9.298,0,0.069,119.905,4,0.399
97,Gorillaz,Superfast Jellyfish (feat. Gruff Rhys and De La Soul),1UJNbgfTzG1gZZTWFJdMf1,0.0598,0.705,174867,0.751,2.51e-06,7,0.907,-4.767,1,0.287,80.727,4,0.819
98,Wiz Khalifa,Mezmorized,3bwhl6x6S42hMFrwigJaFw,0.00484,0.722,268894,0.779,0.0,2,0.0458,-6.413,1,0.191,150.04,4,0.32
99,Sean Kingston,Letting Go (Dutty Love) featuring Nicki Minaj (feat. Nicki Minaj),0wDbYIl4fN2mccHczCJqEf,0.335,0.792,230600,0.808,0.0,5,0.269,-4.156,1,0.0963,92.064,4,0.709
100,Scarface,Guess Who's Back,27dUo79lgLEy4Rk5w3UvSL,0.00961,0.742,241573,0.788,0.105,1,0.0864,-9.197,1,0.31,85.835,4,0.848
101,Flo Rida,Club Can't Handle Me (feat. David Guetta) - From the Step Up 3D Soundtrack,0xcl9XT60Siji6CSG4y6nb,0.0205,0.623,232616,0.882,0.0,0,0.194,-2.574,1,0.0322,127.98,4,0.525
102,Eminem,Talkin’ 2 Myself,66h8hB4In6t725WtAPL23J,0.0819,0.421,300427,0.963,0.0,4,0.5,-2.16,0,0.415,180.336,4,0.494
103,Kid Cudi,Trapped In My Mind,3fV84Z6UdxxHqfGIMmuSKg,0.503,0.819,214347,0.698,0.000323,1,0.113,-8.148,1,0.0339,119.006,4,0.787
104,Eminem,So Bad,5Ve4qBYAThGLTOva0hhoTa,0.304,0.773,325347,0.811,0.0,1,0.174,0.496,1,0.0882,81.037,4,0.774
105,Kid Cudi,Scott Mescudi Vs. The World,5QemHQxj7PRkrw8lJl2W7C,0.28,0.78,235293,0.72,0.591,11,0.132,-5.914,0,0.0278,108.685,4,0.583
106,Scarface,F*** Faces,3jpaB4JCMidb5XshQtDSGm,0.137,0.711,377600,0.548,3.65e-06,5,0.0838,-10.725,1,0.183,170.131,4,0.508
107,T.I.,Poppin Bottles,2pwPtne9zCNTsyYZDLHxDf,0.00189,0.629,320160,0.853,0.0,0,0.34,-4.36,1,0.104,78.033,4,0.373
108,Drake,Show Me A Good Time,7v0hKO3RYhEXt2EPXf4AOS,0.0386,0.667,210360,0.734,0.0,6,0.108,-6.064,0,0.119,128.318,4,0.704
109,Erykah Badu,Window Seat,74HYrIbnpc2xKCTenv5qKM,0.648,0.643,289720,0.535,0.00213,0,0.0766,-6.795,0,0.0941,82.193,4,0.564
110,Don Omar,Hasta Abajo,4s7DK08ZqqU5EnjvQ6Vlle,0.432,0.697,232227,0.919,0.0206,7,0.0882,-3.867,1,0.0792,179.988,4,0.683
111,Eminem,W.T.P.,1ne7JVHEPnoncXzQunQVKW,0.0319,0.77,238173,0.937,0.0,9,0.348,-2.327,1,0.247,95.011,4,0.685
112,Lil Jon,Outta Your Mind,1Oenqmtbzt331Pgv0ODfS2,0.233,0.876,250747,0.984,0.0,10,0.0505,-2.018,0,0.274,99.976,4,0.642
113,Twista,Make A Movie,7CisLSqtKbDw2VtpN6IuLw,0.00752,0.846,202000,0.774,0.0,1,0.207,-5.131,1,0.0509,120.012,4,0.375
114,Wisin & Yandel,Estoy Enamorado,4JyacVQ1oCFXpnZkDuH5x4,0.295,0.747,271693,0.716,0.0,6,0.0868,-6.037,1,0.0694,100.863,4,0.385
115,Jeremih,I Like,2KqyIbbCPKhNfqqzUVq9H9,0.243,0.83,218600,0.616,0.0,4,0.0477,-7.383,0,0.0499,123.965,4,0.386
116,Kid Cudi,Ashin’ Kusher,6GSMozgAebBmuM2hCV15H3,0.734,0.86,228493,0.638,0.000708,10,0.105,-5.773,1,0.201,92.997,4,0.584
117,Hopsin,Nocturnal Rainbows,6iVp2prwrEaeh9f18iP2jt,0.168,0.608,306524,0.845,0.0,10,0.0712,-5.007,0,0.119,81.997,4,0.549
