,artist_name,track_name,track_id,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
87,Andrew Belle,In My Veins - Feat. Erin Mccarley,7LwGBxB0h0CVmkOZxYKn0g,2010,0.548,0.42,0,-7.842,1,0.0277,0.198,4.46e-06,0.0899,0.196,128.012,318909,4
88,My Chemical Romance,SING,1mX6SYJ1ZpcoxQUiER8wOI,2010,0.606,0.942,2,-3.618,1,0.0357,0.000233,7.07e-06,0.106,0.373,110.98,270387,4
89,Trace Adkins,You're Gonna Miss This,5Ga2YBqKtetWgWL2pl3g3f,2010,0.492,0.69,8,-5.878,1,0.0344,0.0272,7.73e-05,0.0978,0.333,154.926,223973,4
90,Arcade Fire,Ready to Start,01wsKcJ8ptqUmatpJlEGYj,2010,0.282,0.932,9,-4.701,1,0.0387,0.12,0.0335,0.0692,0.536,190.08,255893,4
91,Two Door Cinema Club,This Is the Life,1sihSJEXrJJgyaLd4DeZYq,2010,0.457,0.806,4,-5.434,1,0.107,5.33e-05,0.0124,0.0869,0.388,136.016,210733,4
92,Darius Rucker,This,6fIvjDuusQK59brMgHV9qb,2010,0.625,0.826,4,-5.037,1,0.0325,0.121,0.0,0.158,0.699,99.919,218867,4
93,My Chemical Romance,Bulletproof Heart,2EGF4JrisrJ4D4HOdTyYEO,2010,0.405,0.95,6,-2.8,1,0.071,0.00033,3.47e-06,0.108,0.383,139.715,296733,4
94,Dread Mar I,Tu Sin Mi,0gWa0Y7I6Y78QWjuudv58R,2010,0.803,0.418,9,-5.751,0,0.0318,0.143,0.0,0.0524,0.784,83.965,245056,4
95,Never Shout Never,cheatercheaterbestfriendeater,2waLDWGLc4Q14ZVyDNrxLM,2010,0.768,0.683,7,-7.173,1,0.0604,0.388,0.0,0.286,0.669,99.955,178144,4
96,Sleigh Bells,Rill Rill,3GbjOImkNo5nFT2GQxVr11,2010,0.468,0.812,1,-3.44,0,0.0491,0.0372,1.46e-06,0.0688,0.789,72.987,229893,4
97,Stone Sour,Say You'll Haunt Me,7oL13WHjhUFhVq9POP7qfC,2010,0.559,0.868,11,-4.738,0,0.0475,1.2e-05,0.00394,0.0418,0.684,140.021,264373,4
98,Easton Corbin,A Little More Country Than That,7LrZ3SczM7zlUkVlhevPp2,2010,0.64,0.6,11,-8.534,1,0.0318,0.0795,1.5e-06,0.106,0.593,84.969,172227,4
99,Five For Fighting,Chances,1MzlQlMCHU4zSyHjVGbMln,2010,0.401,0.802,10,-5.646,1,0.0291,0.0236,0.0,0.224,0.326,163.987,215200,4
100,The Black Keys,Sinister Kid,78krcD2vFUXJ3Y0XXeiHWH,2010,0.761,0.828,9,-7.259,1,0.0721,0.133,0.0858,0.348,0.935,139.616,224480,4
101,Kings of Leon,Back Down South,6HfFLqjxyFJYx1V0olSKof,2010,0.476,0.619,0,-7.221,1,0.0398,0.0634,0.00075,0.258,0.154,117.113,241227,4
102,Rodney Atkins,It’s America,6QbcLktLNe7eYqh8TjZeCd,2010,0.595,0.715,4,-13.863,1,0.0384,0.0374,0.0,0.374,0.722,134.498,213787,4
103,Zac Brown Band,No Hurry,5YrMcUZoNXlUCfwgnfocgL,2010,0.565,0.531,3,-5.809,1,0.0287,0.375,0.0,0.312,0.407,146.027,226227,4
104,Brantley Gilbert,My Kind Of Crazy,4FcOYKkhIXgvO787zu0Cxy,2010,0.551,0.452,8,-9.402,1,0.0299,0.5,0.0,0.272,0.329,142.015,214560,4
105,Sanctus Real,Lead Me,7iuU9NU6rhcWNYJ1KjylTO,2010,0.314,0.644,1,-4.646,1,0.0345,0.0266,0.0,0.108,0.27,198.063,228800,4
106,Two Door Cinema Club,I Can Talk,5R34yWuK4EWjy3l6IAfMFJ,2010,0.475,0.753,9,-5.058,0,0.214,2.58e-05,0.0968,0.212,0.672,162.92,177427,4
107,Maroon 5,Never Gonna Leave This Bed,4ucLHLiSjvkCz5Lr5dlVUj,2010,0.609,0.81,11,-4.207,1,0.0296,0.11,0.0,0.246,0.47,117.364,196707,4
108,Deerhunter,Desire Lines,3jZ0GKAZiDMya0dZPrw8zq,2010,0.318,0.918,2,-6.288,1,0.0373,0.0565,0.293,0.659,0.6,120.567,404413,4
109,Tech N9ne Collabos,Loud,7LG1SR44Kh4f9lgyXSdWTD,2010,0.865,0.878,1,-2.637,0,0.271,0.252,0.0,0.107,0.763,140.075,291867,4
110,Ryan Bingham,Hallelujah,4rdE7Rtddm0BXwj6RBFSxL,2010,0.615,0.41,11,-12.057,1,0.0313,0.735,4.52e-05,0.103,0.274,128.855,300453,4
111,Fitz and The Tantrums,Moneygrabber,4PwwyZBEkHcm4OTJThCzXi,2010,0.696,0.886,9,-3.713,0,0.0291,0.0608,1.01e-06,0.585,0.801,112.52,189893,4
112,Broken Social Scene,Sweetest Kill,0ey9VL7lFerteaCVvahKYV,2010,0.709,0.384,5,-12.427,1,0.0301,0.0893,0.848,0.0961,0.691,87.961,309307,4
113,Ariel Pink,Round And Round,2qKTOaX1ZeMWn3aKhpxkz5,2010,0.665,0.59,1,-6.831,0,0.0257,0.358,0.628,0.564,0.577,110.069,308680,4
114,Volbeat,Heaven Nor Hell,5MZrOnwTMwnUqAMxTNnV7t,2010,0.411,0.768,3,-4.21,1,0.0562,0.000614,0.00859,0.134,0.672,134.408,322613,4
115,Billy Ocean,"When the Going Gets Tough, The Tough Get Going",5UU5FbITNm5OunvHQdsKME,2010,0.754,0.763,4,-6.318,1,0.0473,0.407,0.0,0.318,0.932,122.047,248000,4
116,Robyn,Call Your Girlfriend,2sCoROOlNQyFpRQEe6A5lv,2010,0.599,0.887,8,-2.377,1,0.11,0.00101,0.0545,0.0716,0.461,125.097,227347,4
117,Sick Puppies,Riptide,2s2nAHl0uelukXWMozMraH,2010,0.505,0.757,0,-5.443,1,0.0829,0.00169,0.0,0.337,0.556,83.212,191373,4
118,Kings of Leon,Radioactive,60CirPlTOEWOUBus7HxV3B,2010,0.408,0.925,5,-4.88,1,0.0533,0.00877,0.000454,0.12,0.361,126.405,206187,4
119,My Chemical Romance,Planetary (GO!),3iitOoZUtWEgwZOEYFITFo,2010,0.608,0.954,7,-3.507,1,0.0499,0.0006,0.269,0.358,0.723,131.991,246760,4
120,Brantley Gilbert,Hell On Wheels,18WhWzFnqEbE04y4H5Y13z,2010,0.46,0.826,1,-5.624,1,0.0525,0.0338,3.49e-05,0.115,0.747,160.222,253013,4
121,Phantogram,Mouthful of Diamonds,2YvQY4h5KBhgF34YpNcz0z,2010,0.613,0.815,0,-4.541,1,0.0295,0.138,0.821,0.113,0.219,99.983,253427,4
122,The Revivalists,Catching Fireflies,4daxThR2Ny2xj0hkar6XkX,2010,0.461,0.883,11,-4.08,1,0.0718,0.0623,0.000117,0.644,0.556,146.146,312933,4
123,The Jon Spencer Blues Explosion,Bellbottoms,7sC9FifCXZHgjTAjFO1ykA,2010,0.353,0.865,2,-4.598,1,0.233,0.00991,0.147,0.314,0.46,164.042,316853,4
124,AC/DC,Shoot to Thrill,6GzCkTddOn1vSln1gbSr8y,2010,0.453,0.897,2,-5.376,1,0.0705,0.000358,0.0956,0.365,0.492,141.167,317800,4
125,The Black Keys,She's Long Gone,26ZnmGlPGXaOzPDydAP9D5,2010,0.349,0.866,11,-6.676,0,0.112,0.0361,0.0406,0.216,0.488,167.951,186000,4
126,The Black Keys,Next Girl,2UE4m8egf0aREmOi47sDOk,2010,0.383,0.748,1,-6.343,0,0.0343,0.022,0.00014,0.114,0.255,171.568,198213,4
127,Neon Trees,1983,4DJLcyfnyEGlUejAEAX4az,2010,0.463,0.981,10,-3.922,1,0.18,7.37e-05,0.0,0.102,0.703,153.048,222560,4
128,Easton Corbin,Roll With It,7bNX2Fgb4MjPrYbkHaCNwV,2010,0.709,0.654,5,-7.753,1,0.0267,0.106,0.0,0.277,0.488,119.989,207587,4
129,Andrew Peterson,Dancing In The Minefields,1pDYCsbY4NkeQb8AvanZMj,2010,0.54,0.497,1,-11.965,1,0.0408,0.448,2.41e-05,0.111,0.29,100.992,210413,4
130,My Darkest Days,Porn Star Dancing - Bonus Track,0sQ3DlfuQZozaOnAS1r4yG,2010,0.59,0.914,2,-3.973,1,0.0573,0.00699,0.0,0.23,0.479,160.048,207120,4
131,Vampire Weekend,Giving Up The Gun,44WZJJnhlIMwARyEjigVRz,2010,0.637,0.88,9,-5.202,1,0.0512,0.00124,0.000164,0.0586,0.746,134.035,286160,4
132,Vampire Weekend,Horchata,22d5vvCijMTue7PvUrGiz9,2010,0.834,0.787,0,-7.119,1,0.14,0.0803,0.0,0.356,0.837,119.976,206733,4
133,My Chemical Romance,Vampire Money,4kXHIm097G3CemN3PzcpgL,2010,0.261,0.979,1,-3.652,0,0.0966,0.000176,0.122,0.113,0.64,183.718,218120,4
134,Lifehouse,Halfway Gone,7AsqUKKbPMxOFNIbRLBxHt,2010,0.543,0.919,1,-4.831,0,0.0415,0.000449,0.0,0.243,0.498,125.023,195307,4
135,The Black Keys,The Only One,3QHA3SBpz2SDEpI1HuMT0e,2010,0.434,0.653,1,-6.969,0,0.0324,0.693,0.0421,0.177,0.625,105.09,300347,4
136,Train,"Save Me, San Francisco",7gA5OQWsvAY7HhazroFuwI,2010,0.639,0.938,2,-2.729,1,0.0433,0.0531,0.0,0.617,0.886,112.012,249427,4
137,Lukas Nelson and Promise of the Real,Pali Gap / Hey Baby (New Rising Sun),0JT0D83NTt3o2VbZSI3f5K,2010,0.498,0.864,11,-4.85,0,0.0587,0.0615,0.165,0.114,0.719,160.16,318827,4
138,Gungor,Beautiful Things,06wxyCQFJOT0bjvSPMQj7x,2010,0.558,0.408,2,-8.235,1,0.0253,0.05,0.013,0.125,0.162,82.021,310293,4
139,The Black Keys,Ten Cent Pistol,2qoLCpTRYv6h8Vx94hxkvl,2010,0.588,0.488,0,-8.462,0,0.03,0.325,0.0139,0.18,0.328,104.717,269307,4
140,The Green,I'm Yours,3XANvalQ4o3XLADkt05qvW,2010,0.843,0.384,10,-9.184,1,0.0898,0.194,0.0,0.2,0.64,123.058,218813,4
141,Evans Blue,Erase My Scars,6njppEOeoUxbEx1BAXsF8p,2010,0.476,0.923,0,-3.905,0,0.101,0.012,0.0157,0.165,0.373,147.935,204200,4
142,Vampire Weekend,Holiday,3ciC6GP8rOPxlkCYQIQ3jW,2010,0.715,0.769,2,-5.239,1,0.105,0.023,0.000726,0.127,0.891,155.828,138293,4
143,My Chemical Romance,DESTROYA,08gaUXuT1LXIae7TwBTCB9,2010,0.5,0.978,9,-5.128,1,0.103,0.00408,0.593,0.204,0.199,100.038,272907,4
144,My Chemical Romance,Summertime,7cQjIIjLOhbRVCXyIepF2U,2010,0.6,0.799,2,-3.51,1,0.0332,0.000252,0.0121,0.0932,0.647,130.031,246720,4
145,Matthew West,Strong Enough,3b6yQRfPf0wPiEKCTA46ZO,2010,0.373,0.787,9,-5.06,1,0.0385,0.00599,0.0,0.0675,0.315,159.881,243361,4
146,The Chordettes,Lollipop,1hFB1obL3dCyIDigkojSTm,2010,0.65,0.593,7,-6.374,0,0.122,0.585,0.00244,0.441,0.825,143.179,130533,4
147,Deftones,Diamond Eyes,1FdU4oF88UOJwA9GYgognx,2010,0.331,0.845,8,-4.876,1,0.0551,0.000109,0.000212,0.0758,0.468,153.484,188267,3
